lonxa,fecha,ingresos_real,ingresos_predicho,ingresos_lower,ingresos_upper,error_absoluto,error_pct,modelo,fecha_ejecucion
"A Coruña (Lonja Coruña, S.A.)",2025-05-01,5120999.45,4970200.653946342,4175938.118930431,5769321.969419204,150798.79605365824,2.9447141622649116,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-06-01,6061255.09,6226623.25824424,5464606.503578815,6960398.749957765,165368.16824423987,2.728282604655068,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-07-01,9724416.28,7266477.292283349,6521149.157808491,8065298.321763206,2457938.9877166506,25.275954020724527,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-08-01,7430342.12,7360791.859537646,6552682.716128273,8199153.218290523,69550.26046235394,0.9360303918597215,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-09-01,6161711.59,5941409.023188798,5129675.109288922,6746718.818437018,220302.5668112021,3.5753469404302662,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-10-01,6627001.6,5686510.967195143,4927377.756811752,6465226.438277294,940490.6328048566,14.19179727985665,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-11-01,5472581.94,5697370.183380627,4922925.209410936,6420019.709144959,224788.24338062666,4.107535453011904,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-12-01,5315951.69,6156808.253629098,5425167.1036184905,6948155.045994014,840856.5636290973,15.817611081960326,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-01-01,4962410.01,5063254.825205726,4568504.110581109,5600238.356294441,100844.81520572584,2.032174185577339,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-02-01,4529455.64,4044262.580013929,3564107.8858570675,4643498.94576613,485193.05998607073,10.711950807096784,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-03-01,4560157.76,5545487.526835923,5023903.841252541,6095260.868165997,985329.7668359233,21.60736138295188,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-04-01,4584260.5,5181733.836969386,4695665.26138887,5730568.129641797,597473.3369693859,13.033145410680433,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-05-01,3921315.44,3401530.8530030656,2860497.1068779896,3952496.1115613002,519784.5869969344,13.255362771757387,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-06-01,4643015.06,4086489.134199061,3537827.133881639,4598204.114577778,556525.9258009386,11.986304558765283,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-07-01,5888357.17,6140568.912616842,5625554.254157315,6663613.122598197,252211.7426168425,4.283227653067834,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-08-01,6053597.43,5697121.0329204975,5154141.87535329,6228899.311076354,356476.39707950223,5.888670351829164,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-09-01,5700659.01,5113921.620924402,4578737.403034232,5660843.964929456,586737.3890755977,10.292448435283585,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-10-01,4551959.44,4721155.752909213,4173373.6236955663,5239543.726195521,169196.3129092129,3.71699957214937,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-11-01,3299098.06,4506354.160160149,3964567.4529278195,5038460.700603977,1207256.1001601494,36.59351975006616,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2024-12-01,5420163.9,5403906.952912612,4864995.7382907905,5943679.697015314,16256.947087388486,0.2999346032209189,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-01-01,4530997.15,4190124.592389577,3660891.065996444,4725085.470574064,340872.5576104233,7.523124520403268,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-02-01,3949042.49,3283289.893162833,2747809.120077206,3786769.037246937,665752.5968371672,16.85858277096348,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
