lonxa,fecha,ingresos_real,ingresos_predicho,error_absoluto,error_pct,modelo,fecha_ejecucion
Celeiro,2024-05-01,3272242.53,3509996.0,237753.4700000002,7.265765536028292,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-06-01,3236389.32,3589183.5,352794.18000000017,10.900857255331697,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-07-01,3847798.82,3594127.5,253671.31999999983,6.592634694970872,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-08-01,3237263.91,3677947.0,440683.08999999985,13.61282559134945,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-09-01,4173663.59,4142393.75,31269.83999999985,0.7492180269373329,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-10-01,4269000.21,4016707.75,252292.45999999996,5.909872278970911,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-11-01,3427446.12,3710018.5,282572.3799999999,8.244400352528368,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-12-01,4074568.83,4349346.0,274777.1699999999,6.743711579416366,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-01-01,4276592.67,4283834.5,7241.8300000000745,0.16933644512840815,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-02-01,3865014.04,3851370.0,13644.040000000037,0.35301398284183305,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-03-01,4435418.37,4775428.5,340010.1299999999,7.66579613548383,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-04-01,3857023.61,4367192.5,510168.89000000013,13.227009777106346,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-05-01,3406964.21,3563870.25,156906.04000000004,4.605450199313952,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-06-01,3104357.1,3326588.5,222231.3999999999,7.158693179982416,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-07-01,3542470.5,3438193.25,104277.25,2.9436307232480834,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-08-01,3440144.89,3180805.0,259339.89000000013,7.538632769621518,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-09-01,4427719.98,4185651.5,242068.48000000045,5.467113572977134,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-10-01,4648495.75,4038411.0,610084.75,13.124347806492025,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-11-01,3251160.81,3752210.0,501049.18999999994,15.41139363081828,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2025-12-01,4773659.8,4365074.0,408585.7999999998,8.559172985054357,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-01-01,2962992.95,2977235.25,14242.299999999814,0.48067276029123907,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-02-01,2780474.93,2927947.25,147472.31999999983,5.303853611800047,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-03-01,2382580.44,2756128.75,373548.31000000006,15.678308431005169,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-04-01,3384322.55,2698211.25,686111.2999999998,20.273224252812426,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-05-01,3353822.17,2751904.25,601917.9199999999,17.947222288175162,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-06-01,4073222.6,3346737.5,726485.1000000001,17.835634615206153,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
